YearMonth,Open,Close,High,Low,Volume
2018-07-01,5860.0,6977.3,7100.0,5750.45,5266714
2018-08-01,7039.7,6747.8,7200.0,6725.0,3275423
2018-09-01,6770.0,6006.2,6840.0,5366.0,4926718
2018-10-01,6000.0,5404.65,6040.0,4955.0,7010580
2018-11-01,5420.0,5994.35,6100.0,5370.65,3831105
2018-12-01,6060.0,6476.95,6591.2,5612.0,4239592
2019-01-01,6515.0,6091.9,6535.0,5948.8,4467317
2019-02-01,6123.9,6462.45,6509.7,5855.0,4434088
2019-03-01,6480.0,7037.05,7080.0,6386.0,4137556
2019-04-01,7090.0,7520.45,7747.2,7040.0,3738034
2019-05-01,7522.0,8187.95,8335.0,7226.05,5527010
2019-06-01,8194.0,8524.65,8557.85,8094.65,2792406
2019-07-01,8548.0,7097.85,8580.0,6631.7,10081054
2019-08-01,7075.0,7119.55,7590.0,6581.0,8779466
2019-09-01,7050.0,8513.0,8668.8,6950.0,7417809
2019-10-01,8571.0,8134.35,8613.95,7852.0,6592178
2019-11-01,8168.0,9110.25,9284.75,8110.5,5743365
2019-12-01,9110.0,9393.35,9482.0,8821.05,3691338
2020-01-01,9420.0,9441.4,9950.0,8961.6,4736428
2020-02-01,9442.55,9050.75,9840.95,8820.0,5395388
2020-03-01,9300.0,4591.2,9300.0,4160.25,14377883
2020-04-01,4560.0,5104.35,5175.0,4288.0,17884855
2020-05-01,4922.0,4404.9,5050.0,3985.3,19852133
2020-06-01,4500.0,5845.15,6455.0,4476.75,37140526
2020-07-01,5818.0,6205.9,6710.0,5802.65,26239993
2020-08-01,6223.0,6190.35,6700.0,6060.0,11979468
2020-09-01,6250.0,5852.35,6455.0,5400.0,12452328
2020-10-01,5907.0,5573.5,6169.5,5511.05,14582297
2020-11-01,5601.4,8758.8,9009.0,5560.0,33209765
2020-12-01,8800.0,8906.35,9450.0,8569.65,14490098
2021-01-01,8930.0,8722.75,9388.85,8273.7,14390068
2021-02-01,8750.0,9648.6,10579.0,8638.0,13911694
2021-03-01,9799.0,9668.6,10444.95,8960.05,8025468
2021-04-01,9730.0,11041.65,11300.0,9035.85,11748658
